symbol,entry_date,entry_price,entry_sl,entry_target,current_sl,current_target,setup_type,status,close_date,close_price,updated_at,current_price,current_return
TATACONSUM.NS,2026-06-04,1149.3,1093.24,1201.0185,1093.24,1201.0185,pullback_sma50,CLOSED,2026-06-24,1098.0999755859375,2026-07-08T21:31:50.002627,1098.0999755859375,-4.45%
TATACHEM.NS,2026-06-02,726.92,670.67,759.6313999999999,670.67,759.6313999999999,pullback_sma50,CLOSED,2026-06-22,733.4500122070312,2026-07-08T21:30:55.997066,733.4500122070312,+0.90%
TECHM.NS,2026-07-17,1572.9,1477.99,1643.6805,1477.99,1643.6805,momentum_breakout,OPEN,,,2026-07-17T11:49:45.214006,1576.4000244140625,+0.22%
ADANIPOWER.NS,2026-05-25,233.38,216.47,243.88209999999998,216.47,243.88209999999998,momentum_breakout,CLOSED,2026-05-26,244.52999877929688,2026-07-08T21:22:25.810462,244.52999877929688,+4.78%
GAIL.NS,2026-07-15,173.15,166.11,180.94174999999998,166.11,180.94174999999998,momentum,OPEN,,,2026-07-15T11:56:46.400456,173.00999450683594,-0.08%
APOLLOHOSP.NS,2026-07-15,8934.0,8581.48,9336.029999999999,8581.48,9336.029999999999,macd_crossover,OPEN,,,2026-07-15T11:56:46.397698,8905.0,-0.32%
TMPV.NS,2026-05-25,370.18,350.46,386.8381,350.46,386.8381,momentum,CLOSED,2026-05-27,397.6513671875,2026-07-08T21:22:53.630532,397.6513671875,+7.42%
ICICIBANK.NS,2026-07-17,1444.3,1381.52,1509.2934999999998,1394.67,1525.9089999999999,macd_crossover,OPEN,,,2026-07-20T12:31:07.751036,1460.199951171875,+1.10%
MARUTI.NS,2026-07-16,13783.0,13005.7,14403.234999999999,13005.7,14403.234999999999,pullback_sma50,OPEN,,,2026-07-16T11:58:58.497423,13514.0,-1.95%
INDHOTEL.NS,2026-07-10,752.3,713.32,786.1534999999999,713.32,786.1534999999999,macd_crossover,OPEN,,,2026-07-10T12:40:18.319323,725.0499877929688,-3.62%
INDIGO.NS,2026-07-10,5312.0,5056.23,5551.04,5056.23,5551.04,momentum,OPEN,,,2026-07-10T12:40:18.313496,5229.0,-1.56%
NESTLEIND.NS,2026-05-22,1423.1,1363.37,1487.1394999999998,1341.22,1461.8505,momentum,CLOSED,2026-06-12,1375.699951171875,2026-07-08T21:27:57.354324,1375.699951171875,-3.33%
EICHERMOT.NS,2026-07-16,7418.5,7046.18,7752.3324999999995,7168.69,7903.857499999999,pullback_sma50,OPEN,,,2026-07-17T11:49:45.216710,7563.5,+1.95%
VBL.NS,2026-05-22,539.45,510.7,563.72525,509.44,561.165,momentum_breakout,CLOSED,2026-06-12,522.2000122070312,2026-07-08T21:27:57.362927,522.2000122070312,-3.20%
DREDGECORP.NS,2026-05-21,1105.25,966.69,1154.98625,966.69,1154.98625,macd_crossover,CLOSED,2026-05-27,1191.5,2026-07-08T21:22:53.625821,1191.5,+7.80%
ADANIPORTS.NS,2026-05-14,1765.96,1663.43,1845.4281999999998,1722.92,1888.20005,momentum,CLOSED,2026-06-04,1783.384033203125,2026-07-08T21:25:13.695840,1783.384033203125,+0.99%
JSWSTEEL.NS,2026-05-14,1296.9,1240.86,1355.2605,1248.08,1357.873,momentum_breakout,CLOSED,2026-06-04,1301.0999755859375,2026-07-08T21:25:13.697412,1301.0999755859375,+0.32%
BHARTIARTL.NS,2026-07-14,1936.5,1803.61,2023.6425,1869.77,2027.4044999999999,pullback_sma50,OPEN,,,2026-07-20T12:31:07.758332,1940.0999755859375,+0.19%
TATASTEEL.NS,2026-05-13,215.18,205.83,224.8631,205.83,224.8631,momentum_breakout,CLOSED,2026-05-18,205.4725799560547,2026-07-08T21:19:36.043289,205.4725799560547,-4.51%
HINDALCO.NS,2026-05-13,1073.1,1019.01,1121.3894999999998,1089.13,1201.4365,momentum,CLOSED,2026-06-03,1138.9000244140625,2026-07-08T21:24:46.556890,1138.9000244140625,+6.13%
ONGC.NS,2026-05-12,294.5,279.35,307.7525,279.35,307.7525,momentum,CLOSED,2026-05-27,274.04998779296875,2026-07-08T21:22:53.609405,274.04998779296875,-6.94%
