combination,total_signals,closed_signals,target_hits,stop_loss_hits,timeouts,win_rate_target_vs_stop_pct,win_rate_overall_pct,avg_return_pct,profit_factor
volume_spike + breakout_proximity,142,142,31,82,29,27.4,41.5,0.12,1.08
uptrend_sma50 + macd_crossover,147,147,37,84,26,30.6,39.5,0.12,1.07
Single: sma100_support,301,301,72,167,62,30.1,39.9,0.12,1.07
macd_crossover + adx_strong_trend,167,167,33,91,43,26.6,40.7,0.11,1.06
uptrend_sma50 + adx_strong_trend + sma_cross,42,42,10,20,12,33.3,45.2,0.07,1.05
volume_spike + ols_breakout,56,56,11,30,15,26.8,42.9,0.08,1.05
uptrend_sma50 + breakout_proximity,670,670,181,376,113,32.5,39.7,0.05,1.04
adx_strong_trend + strong_rsi,300,300,80,166,54,32.5,41.3,0.06,1.04
uptrend_sma50 + adx_strong_trend + ols_breakout,103,103,26,54,23,32.5,42.7,0.06,1.04
uptrend_sma50 + adx_strong_trend + strong_rsi,297,297,79,164,54,32.5,41.4,0.06,1.04
Score >= 3,1581,1581,374,866,341,30.2,40.9,0.07,1.04
rsi_momentum + adx_strong_trend + ols_breakout,112,112,23,60,29,27.7,40.2,0.07,1.04
uptrend_sma50 + macd_crossover + breakout_proximity,94,94,25,54,15,31.6,38.3,0.03,1.02
Single: sma_cross,103,103,24,56,23,30.0,42.7,0.03,1.02
uptrend_sma50 + adx_strong_trend,718,718,167,390,161,30.0,41.5,0.01,1.01
Score >= 4,698,698,166,396,136,29.5,40.0,-0.0,1.0
macd_crossover + adx_strong_trend + ols_breakout,31,31,4,15,12,21.1,41.9,0.0,1.0
uptrend_sma50 + ols_breakout + strong_rsi,83,83,22,47,14,31.9,39.8,-0.01,0.99
uptrend_sma50 + volume_spike,170,170,42,100,28,29.6,39.4,-0.01,0.99
uptrend_sma50 + ols_breakout,207,207,49,117,41,29.5,40.1,-0.02,0.99
rsi_momentum + adx_strong_trend,725,725,136,392,197,25.8,40.1,-0.01,0.99
rsi_momentum + volume_spike + adx_strong_trend,64,64,11,34,19,24.4,42.2,-0.03,0.98
breakout_proximity + adx_strong_trend + strong_rsi,247,247,67,142,38,32.1,38.9,-0.06,0.96
volume_spike + adx_strong_trend,185,185,32,105,48,23.4,39.5,-0.1,0.94
uptrend_sma50 + breakout_proximity + adx_strong_trend,331,331,87,192,52,31.2,37.5,-0.11,0.93
uptrend_sma50 + volume_spike + breakout_proximity,107,107,23,66,18,25.8,37.4,-0.12,0.93
uptrend_sma50 + rsi_momentum + adx_strong_trend,378,378,74,208,96,26.2,40.2,-0.12,0.92
ols_breakout + strong_rsi,90,90,23,52,15,30.7,37.8,-0.15,0.91
uptrend_sma50 + strong_rsi,445,445,102,258,85,28.3,38.4,-0.16,0.9
rsi_momentum + macd_crossover + adx_strong_trend,89,89,13,50,26,20.6,38.2,-0.2,0.89
rsi_momentum + sma_cross + ols_breakout,9,9,1,5,3,16.7,33.3,-0.2,0.89
breakout_proximity + adx_strong_trend + sma_cross,27,27,7,14,6,33.3,40.7,-0.18,0.88
Single: strong_rsi,474,474,110,277,87,28.4,38.0,-0.19,0.88
Score >= 5,210,210,46,124,40,27.1,36.7,-0.19,0.88
uptrend_sma50 + rsi_momentum + ols_breakout,114,114,23,67,24,25.6,37.7,-0.21,0.87
uptrend_sma50 + sma100_support,60,60,13,41,6,24.1,31.7,-0.23,0.87
breakout_proximity + ols_breakout + strong_rsi,86,86,22,51,13,30.1,36.0,-0.23,0.86
strong_rsi + sma100_support,3,3,1,2,0,33.3,33.3,-0.31,0.84
breakout_proximity + adx_strong_trend,377,377,89,226,62,28.3,35.8,-0.27,0.84
uptrend_sma50 + breakout_proximity + strong_rsi,386,386,87,230,69,27.4,36.5,-0.26,0.84
uptrend_sma50 + breakout_proximity + sma100_support,14,14,3,10,1,23.1,28.6,-0.27,0.84
breakout_proximity + strong_rsi,414,414,95,248,71,27.7,36.2,-0.27,0.83
uptrend_sma50 + volume_spike + adx_strong_trend,75,75,15,47,13,24.2,37.3,-0.34,0.81
macd_crossover + volume_spike,58,58,12,34,12,26.1,32.8,-0.41,0.78
uptrend_sma50 + volume_spike + ols_breakout,30,30,6,20,4,23.1,33.3,-0.48,0.74
macd_crossover + adx_strong_trend + strong_rsi,36,36,7,22,7,24.1,30.6,-0.46,0.73
volume_spike + breakout_proximity + adx_strong_trend,50,50,9,34,7,20.9,32.0,-0.48,0.73
uptrend_sma50 + volume_spike + sma100_support,6,6,1,4,1,20.0,33.3,-0.51,0.73
uptrend_sma50 + macd_crossover + adx_strong_trend,48,48,9,31,8,22.5,29.2,-0.54,0.7
sma_cross + pullback_sma50,8,8,1,5,2,16.7,37.5,-0.55,0.7
uptrend_sma50 + sma_cross + pullback_sma50,8,8,1,5,2,16.7,37.5,-0.55,0.7
uptrend_sma50 + adx_strong_trend + sma100_support,7,7,2,5,0,28.6,28.6,-0.67,0.69
macd_crossover + breakout_proximity + adx_strong_trend,41,41,8,26,7,23.5,29.3,-0.56,0.68
breakout_proximity + sma_cross + strong_rsi,23,23,5,14,4,26.3,39.1,-0.57,0.66
Score >= 6,43,43,7,27,9,20.6,30.2,-0.6,0.66
adx_strong_trend + sma_cross + strong_rsi,20,20,4,11,5,26.7,45.0,-0.54,0.65
uptrend_sma50 + macd_crossover + volume_spike,32,32,6,23,3,20.7,28.1,-0.74,0.64
uptrend_sma50 + macd_crossover + strong_rsi,57,57,9,36,12,20.0,29.8,-0.64,0.63
macd_crossover + breakout_proximity + strong_rsi,55,55,9,35,11,20.5,29.1,-0.67,0.62
macd_crossover + ols_breakout + strong_rsi,19,19,2,12,5,14.3,31.6,-0.64,0.62
sma_cross + strong_rsi,27,27,5,16,6,23.8,40.7,-0.64,0.61
uptrend_sma50 + sma_cross + strong_rsi,27,27,5,16,6,23.8,40.7,-0.64,0.61
macd_crossover + strong_rsi,58,58,9,37,12,19.6,29.3,-0.68,0.61
uptrend_sma50 + volume_spike + strong_rsi,71,71,11,50,10,18.0,29.6,-0.78,0.58
adx_strong_trend + pullback_sma50,4,4,1,2,1,33.3,25.0,-0.91,0.56
rsi_momentum + adx_strong_trend + sma100_support,18,18,3,13,2,18.8,22.2,-1.0,0.54
volume_spike + strong_rsi,75,75,11,54,10,16.9,28.0,-0.89,0.54
macd_crossover + volume_spike + breakout_proximity,30,30,4,21,5,16.0,30.0,-0.91,0.54
volume_spike + breakout_proximity + strong_rsi,73,73,10,54,9,15.6,26.0,-0.98,0.5
macd_crossover + volume_spike + adx_strong_trend,24,24,3,17,4,15.0,20.8,-1.22,0.45
volume_spike + ols_breakout + strong_rsi,20,20,3,15,2,16.7,25.0,-1.18,0.43
rsi_momentum + breakout_proximity + adx_strong_trend,99,99,9,71,19,11.2,23.2,-1.29,0.38
rsi_momentum + sma_cross + pullback_sma50,7,7,0,5,2,0.0,28.6,-1.3,0.38
adx_strong_trend + sma100_support,44,44,3,28,13,9.7,22.7,-1.27,0.37
volume_spike + adx_strong_trend + strong_rsi,38,38,4,29,5,12.1,23.7,-1.32,0.34
Single: pullback_sma50,25,25,2,20,3,9.1,16.0,-1.55,0.3
uptrend_sma50 + pullback_sma50,25,25,2,20,3,9.1,16.0,-1.55,0.3
volume_spike + adx_strong_trend + sma100_support,7,7,0,4,3,0.0,28.6,-1.69,0.24
rsi_momentum + pullback_sma50,23,23,1,19,3,5.0,13.0,-1.78,0.22
uptrend_sma50 + rsi_momentum + pullback_sma50,23,23,1,19,3,5.0,13.0,-1.78,0.22
pullback_sma50 + ols_breakout,10,10,1,8,1,11.1,10.0,-1.77,0.21
uptrend_sma50 + pullback_sma50 + ols_breakout,10,10,1,8,1,11.1,10.0,-1.77,0.21
macd_crossover + volume_spike + strong_rsi,18,18,0,17,1,0.0,5.6,-2.55,0.05
macd_crossover + sma_cross,3,3,0,3,0,0.0,0.0,-3.28,0.0
macd_crossover + pullback_sma50,1,1,0,1,0,0.0,0.0,-2.9,0.0
sma_cross + sma100_support,5,5,0,5,0,0.0,0.0,-2.9,0.0
pullback_sma50 + sma100_support,7,7,0,7,0,0.0,0.0,-2.47,0.0
uptrend_sma50 + sma_cross + sma100_support,5,5,0,5,0,0.0,0.0,-2.9,0.0
uptrend_sma50 + pullback_sma50 + sma100_support,7,7,0,7,0,0.0,0.0,-2.47,0.0
rsi_momentum + pullback_sma50 + ols_breakout,9,9,0,8,1,0.0,0.0,-2.49,0.0
rsi_momentum + pullback_sma50 + sma100_support,6,6,0,6,0,0.0,0.0,-2.48,0.0
macd_crossover + adx_strong_trend + sma100_support,5,5,0,4,1,0.0,0.0,-2.47,0.0
