combination,total_signals,closed_signals,target_hits,stop_loss_hits,timeouts,win_rate_target_vs_stop_pct,win_rate_overall_pct,avg_return_pct,profit_factor
volume_spike + pullback_sma50,1,1,0,0,1,,100.0,2.04,99.9
breakout_proximity + pullback_sma50,1,1,0,0,1,,100.0,2.04,99.9
rsi_momentum + breakout_proximity + sma_cross,10,10,4,0,6,100.0,80.0,2.54,45.56
breakout_proximity + sma_cross + ols_breakout,7,7,5,1,1,83.3,71.4,3.05,7.74
volume_spike + adx_strong_trend + sma_cross,5,5,1,1,3,50.0,80.0,2.68,7.74
uptrend_sma50 + macd_crossover + sma100_support,5,5,2,1,2,66.7,80.0,4.2,7.7
adx_strong_trend + sma_cross + ols_breakout,8,8,4,2,2,66.7,62.5,2.21,4.21
rsi_momentum + volume_spike + sma100_support,21,21,7,7,7,50.0,66.7,2.09,3.15
uptrend_sma50 + sma_cross + ols_breakout,12,12,6,4,2,60.0,58.3,1.82,2.9
volume_spike + breakout_proximity + sma100_support,11,11,2,4,5,33.3,63.6,1.86,2.83
volume_spike + sma_cross,9,9,2,3,4,40.0,66.7,1.54,2.77
volume_spike + breakout_proximity + sma_cross,5,5,1,2,2,33.3,60.0,1.0,2.11
breakout_proximity + ols_breakout + sma100_support,17,17,5,8,4,38.5,52.9,1.28,2.03
rsi_momentum + volume_spike + breakout_proximity,62,62,16,27,19,37.2,54.8,0.96,1.8
rsi_momentum + macd_crossover + breakout_proximity,66,66,24,31,11,43.6,53.0,1.01,1.78
sma_cross + ols_breakout,16,16,6,7,3,46.2,50.0,1.01,1.76
uptrend_sma50 + volume_spike + sma_cross,7,7,2,3,2,40.0,57.1,0.84,1.75
rsi_momentum + adx_strong_trend + sma_cross,17,17,3,6,8,33.3,47.1,0.63,1.62
rsi_momentum + macd_crossover + volume_spike,37,37,12,15,10,44.4,48.6,0.84,1.61
rsi_momentum + macd_crossover + ols_breakout,46,46,10,20,16,33.3,47.8,0.83,1.59
macd_crossover + breakout_proximity + sma100_support,14,14,4,8,2,33.3,42.9,0.82,1.56
rsi_momentum + breakout_proximity + ols_breakout,101,101,30,47,24,39.0,50.5,0.67,1.48
uptrend_sma50 + rsi_momentum + sma_cross,51,51,13,23,15,36.1,49.0,0.56,1.42
rsi_momentum + volume_spike + ols_breakout,31,31,7,14,10,33.3,51.6,0.6,1.42
ols_breakout + sma100_support,50,50,11,25,14,30.6,44.0,0.59,1.42
uptrend_sma50 + rsi_momentum + macd_crossover,89,89,28,47,14,37.3,46.1,0.63,1.41
macd_crossover + breakout_proximity + ols_breakout,34,34,7,17,10,29.2,47.1,0.53,1.39
adx_strong_trend + sma_cross,47,47,12,21,14,36.4,48.9,0.45,1.35
rsi_momentum + volume_spike,191,191,52,93,46,35.9,46.6,0.53,1.35
uptrend_sma50 + ols_breakout + sma100_support,12,12,2,7,3,22.2,41.7,0.5,1.35
rsi_momentum + ols_breakout + sma100_support,42,42,9,23,10,28.1,40.5,0.49,1.32
breakout_proximity + sma_cross,38,38,11,17,10,39.3,50.0,0.39,1.31
uptrend_sma50 + breakout_proximity + sma_cross,38,38,11,17,10,39.3,50.0,0.39,1.31
volume_spike + sma100_support,37,37,8,18,11,30.8,45.9,0.46,1.3
rsi_momentum + sma100_support,213,213,59,115,39,33.9,42.7,0.45,1.29
rsi_momentum + breakout_proximity,528,528,150,270,108,35.7,45.1,0.41,1.28
uptrend_sma50 + macd_crossover + ols_breakout,30,30,6,16,8,27.3,43.3,0.4,1.28
macd_crossover + ols_breakout + sma100_support,9,9,1,4,4,20.0,33.3,0.39,1.28
rsi_momentum + macd_crossover + sma100_support,30,30,8,17,5,32.0,36.7,0.43,1.27
uptrend_sma50 + rsi_momentum + volume_spike,86,86,26,45,15,36.6,44.2,0.4,1.26
uptrend_sma50 + rsi_momentum + breakout_proximity,252,252,80,133,39,37.6,42.9,0.35,1.24
macd_crossover + ols_breakout,70,70,12,34,24,26.1,44.3,0.36,1.24
breakout_proximity + ols_breakout,194,194,55,100,39,35.5,44.8,0.34,1.23
rsi_momentum + breakout_proximity + sma100_support,76,76,17,41,18,29.3,42.1,0.34,1.23
breakout_proximity + sma100_support,79,79,18,43,18,29.5,41.8,0.31,1.21
macd_crossover + sma100_support,31,31,8,18,5,30.8,35.5,0.31,1.19
rsi_momentum + ols_breakout,307,307,72,158,77,31.3,43.0,0.28,1.18
macd_crossover + volume_spike + ols_breakout,15,15,3,8,4,27.3,40.0,0.26,1.17
uptrend_sma50 + rsi_momentum,973,973,272,524,177,34.2,42.8,0.25,1.16
Single: rsi_momentum,2119,2118,553,1119,446,33.1,42.4,0.26,1.16
uptrend_sma50 + breakout_proximity + ols_breakout,132,132,39,72,21,35.1,42.4,0.23,1.15
macd_crossover + breakout_proximity,122,122,33,67,22,33.0,41.8,0.22,1.15
volume_spike + adx_strong_trend + ols_breakout,27,27,4,13,10,23.5,44.4,0.23,1.15
volume_spike + breakout_proximity + ols_breakout,32,32,8,18,6,30.8,43.8,0.22,1.14
Single: adx_strong_trend,1558,1558,347,827,384,29.6,42.6,0.21,1.13
breakout_proximity + adx_strong_trend + ols_breakout,74,74,20,40,14,33.3,41.9,0.18,1.12
rsi_momentum + sma_cross,59,59,13,30,16,30.2,44.1,0.18,1.12
uptrend_sma50 + sma_cross,86,86,21,44,21,32.3,45.3,0.16,1.11
adx_strong_trend + ols_breakout + strong_rsi,52,52,14,28,10,33.3,42.3,0.14,1.1
Single: breakout_proximity,974,974,259,531,184,32.8,41.6,0.15,1.1
Single: ols_breakout,479,479,113,251,115,31.0,42.2,0.15,1.1
rsi_momentum + macd_crossover,284,284,65,152,67,30.0,39.8,0.16,1.1
Single: macd_crossover,395,395,90,213,92,29.7,40.0,0.17,1.1
Single: volume_spike,458,458,105,249,104,29.7,41.5,0.17,1.1
adx_strong_trend + ols_breakout,213,213,48,111,54,30.2,42.3,0.14,1.09
uptrend_sma50 + rsi_momentum + sma100_support,48,48,12,31,5,27.9,35.4,0.15,1.09
adx_strong_trend + ols_breakout + sma100_support,7,7,1,3,3,25.0,28.6,0.13,1.09
Single: uptrend_sma50,1481,1481,391,813,277,32.5,41.6,0.13,1.08
