symbol,signal_date,score,setup_type,entry_price,rsi,adx,stop_loss,target,reasons,outcome,exit_price,exit_date,days_held,return_pct,pointer_uptrend_sma50,pointer_rsi_momentum,pointer_macd_crossover,pointer_volume_spike,pointer_breakout_proximity,pointer_adx_strong_trend,pointer_sma_cross,pointer_pullback_sma50
RELIANCE.NS,2024-02-06,3,momentum,1410.79,62.6,48.9760396439879,1362.82,1506.72,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25,timeout,1467.9476318359375,2024-02-27,15,4.05,True,True,False,False,False,True,False,False
INFY.NS,2024-02-07,3,momentum,1560.86,62.4,33.842327362224076,1510.07,1662.45,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25,stop_loss_hit,1510.07,2024-02-14,5,-3.25,True,True,False,False,False,True,False,False
RELIANCE.NS,2024-02-07,3,momentum,1424.97,64.6,49.28652900560703,1378.13,1518.64,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25,timeout,1438.2803955078125,2024-02-28,15,0.93,True,True,False,False,False,True,False,False
INFY.NS,2024-02-08,3,momentum,1559.34,62.1,35.00452465319524,1509.85,1658.33,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25,stop_loss_hit,1509.85,2024-02-14,4,-3.17,True,True,False,False,False,True,False,False
RELIANCE.NS,2024-02-08,3,momentum,1432.85,65.7,49.7497952645112,1385.97,1526.6,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25,timeout,1443.393798828125,2024-02-29,15,0.74,True,False,False,False,True,True,False,False
INFY.NS,2024-02-09,3,momentum,1538.38,57.0,34.907283510560184,1489.16,1636.81,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25,timeout,1524.8775634765625,2024-03-01,15,-0.88,True,True,False,False,False,True,False,False
RELIANCE.NS,2024-02-09,3,momentum,1443.34,67.2,50.384243407503426,1397.5,1535.03,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25,timeout,1474.345458984375,2024-03-01,15,2.15,True,False,False,False,True,True,False,False
INFY.NS,2024-02-12,3,momentum,1548.28,58.7,34.83048625098044,1500.25,1644.35,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25,timeout,1508.75048828125,2024-03-04,15,-2.55,True,True,False,False,False,True,False,False
RELIANCE.NS,2024-02-12,4,momentum,1435.04,64.8,50.454614743766165,1390.5,1524.13,Uptrend (above rising SMA50); RSI in healthy zone; Near 20-day high; ADX greater than 25,timeout,1489.4384765625,2024-03-04,15,3.79,True,True,False,False,True,True,False,False
INFY.NS,2024-02-13,3,momentum,1552.39,59.4,34.404047826501504,1505.25,1646.66,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25,stop_loss_hit,1505.25,2024-03-05,15,-3.04,True,True,False,False,False,True,False,False
RELIANCE.NS,2024-02-13,3,momentum,1447.64,66.8,50.842555306607245,1403.46,1536.01,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25,timeout,1482.3243408203125,2024-03-05,15,2.4,True,False,False,False,True,True,False,False
INFY.NS,2024-02-14,3,momentum,1535.48,55.2,32.73333321999083,1486.87,1632.69,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25,stop_loss_hit,1486.87,2024-03-05,14,-3.17,True,True,False,False,False,True,False,False
RELIANCE.NS,2024-02-14,3,momentum,1463.72,69.1,51.287343464535184,1419.93,1551.31,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25,timeout,1485.0908203125,2024-03-06,15,1.46,True,False,False,False,True,True,False,False
INFY.NS,2024-02-15,3,momentum,1544.83,57.0,31.746315284662977,1497.11,1640.27,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25,stop_loss_hit,1497.11,2024-03-05,13,-3.09,True,True,False,False,False,True,False,False
RELIANCE.NS,2024-02-15,3,momentum,1453.08,65.8,51.71801988052739,1410.49,1538.25,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25,timeout,1461.3028564453125,2024-03-07,15,0.57,True,False,False,False,True,True,False,False
INFY.NS,2024-02-16,3,momentum,1568.14,61.3,31.409292437456433,1520.61,1663.21,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25,stop_loss_hit,1520.61,2024-02-21,3,-3.03,True,True,False,False,False,True,False,False
RELIANCE.NS,2024-02-16,3,momentum,1443.17,62.8,51.57437671741672,1401.67,1526.17,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25,timeout,1449.1246337890625,2024-03-11,15,0.41,True,True,False,False,False,True,False,False
INFY.NS,2024-02-19,3,momentum,1566.39,60.8,31.160634263329005,1519.9,1659.38,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25,stop_loss_hit,1519.9,2024-02-21,2,-2.97,True,True,False,False,False,True,False,False
RELIANCE.NS,2024-02-19,3,momentum,1456.44,65.1,51.104151824398045,1415.15,1539.01,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25,timeout,1457.844482421875,2024-03-12,15,0.1,True,False,False,False,True,True,False,False
INFY.NS,2024-02-20,3,momentum,1553.03,57.1,30.086645258980905,1506.8,1645.49,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25,stop_loss_hit,1506.8,2024-03-04,9,-2.98,True,True,False,False,False,True,False,False
RELIANCE.NS,2024-02-20,4,momentum,1453.5,64.2,50.67122879900001,1413.71,1533.07,Uptrend (above rising SMA50); RSI in healthy zone; Near 20-day high; ADX greater than 25,stop_loss_hit,1413.71,2024-03-13,15,-2.74,True,True,False,False,True,True,False,False
INFY.NS,2024-02-21,3,momentum,1525.66,50.3,28.1977961583751,1478.79,1619.4,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25,stop_loss_hit,1478.79,2024-03-05,9,-3.07,True,True,False,False,False,True,False,False
RELIANCE.NS,2024-02-21,4,momentum,1450.21,63.1,50.6052791476546,1409.99,1530.65,Uptrend (above rising SMA50); RSI in healthy zone; Near 20-day high; ADX greater than 25,stop_loss_hit,1409.99,2024-03-14,15,-2.77,True,True,False,False,True,True,False,False
INFY.NS,2024-02-22,3,momentum,1549.44,55.3,26.777984467620765,1501.94,1644.43,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25,stop_loss_hit,1501.94,2024-03-05,8,-3.07,True,True,False,False,False,True,False,False
RELIANCE.NS,2024-02-22,4,momentum,1464.09,65.7,50.54947903008265,1423.89,1544.5,Uptrend (above rising SMA50); Volume spike (>1.5x avg); Near 20-day high; ADX greater than 25,stop_loss_hit,1423.89,2024-03-13,13,-2.75,True,False,False,True,True,True,False,False
INFY.NS,2024-02-23,3,momentum,1545.29,54.2,25.88767715575557,1498.57,1638.73,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25,stop_loss_hit,1498.57,2024-03-05,7,-3.02,True,True,False,False,False,True,False,False
RELIANCE.NS,2024-02-23,3,momentum,1475.83,67.8,50.80696320704777,1436.82,1553.84,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25,stop_loss_hit,1436.82,2024-02-28,3,-2.64,True,False,False,False,True,True,False,False
INFY.NS,2024-02-26,2,momentum,1529.9,50.5,24.068818513242217,1483.37,1622.96,Uptrend (above rising SMA50); RSI in healthy zone,stop_loss_hit,1483.37,2024-03-05,6,-3.04,True,True,False,False,False,False,False,False
RELIANCE.NS,2024-02-26,3,momentum,1469.6,65.5,50.98128752914447,1432.11,1544.59,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25,stop_loss_hit,1432.11,2024-03-13,11,-2.55,True,False,False,False,True,True,False,False
INFY.NS,2024-02-27,2,momentum,1533.08,51.2,22.399496606493788,1488.07,1623.1,Uptrend (above rising SMA50); RSI in healthy zone,stop_loss_hit,1488.07,2024-03-05,5,-2.94,True,True,False,False,False,False,False,False
RELIANCE.NS,2024-02-27,4,momentum,1467.95,64.9,51.28657812032012,1430.81,1542.22,Uptrend (above rising SMA50); RSI in healthy zone; Near 20-day high; ADX greater than 25,stop_loss_hit,1430.81,2024-03-13,10,-2.53,True,True,False,False,True,True,False,False
