symbol,signal_date,score,reasons,entry_price,rsi,stop_loss,target,outcome,exit_price,exit_date,days_held,return_pct,pointer_uptrend_sma50,pointer_rsi_momentum,pointer_macd_crossover,pointer_volume_spike,pointer_breakout_proximity,pointer_adx_strong_trend,pointer_sma_cross,pointer_pullback_sma50,pointer_ols_breakout,pointer_strong_rsi,pointer_sma100_support,pointer_volume_contraction,pointer_weekly_trend_up,pointer_outperforming_index,pointer_rsi2_pullback
ADANIPOWER.NS,2026-01-02,4,RSI in healthy zone; Near 20-day high; ADX greater than 25; Weekly trend aligned (above Weekly EMA20),148.17,56.0,140.84,159.16,stop_loss_hit,140.84,2026-01-09,5,-4.95,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False
AMBUJACEM.NS,2026-01-02,4,RSI in healthy zone; Near 20-day high; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),562.62,63.7,544.68,589.52,stop_loss_hit,544.68,2026-01-08,4,-3.19,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False
APOLLOHOSP.NS,2026-01-02,4,RSI in healthy zone; Near 20-day high; ADX greater than 25; Volume contracting (low selling pressure),7120.05,48.2,6907.06,7439.53,target_hit,7439.53,2026-01-07,3,4.49,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False
ASIANPAINT.NS,2026-01-02,5,Uptrend (above rising SMA50); RSI in healthy zone; Open-Low Same (conviction buy); Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),2772.6,47.9,2676.85,2916.23,stop_loss_hit,2676.85,2026-01-20,12,-3.45,True,True,False,False,False,False,False,False,True,False,False,True,True,False,False
AXISBANK.NS,2026-01-02,6,Uptrend (above rising SMA50); RSI in healthy zone; MACD bullish crossover; Volume spike (>1.5x avg); ADX greater than 25; Weekly trend aligned (above Weekly EMA20),1266.9,56.7,1221.18,1335.48,timeout,1258.0,2026-01-23,15,-0.7,True,True,True,True,False,True,False,False,False,False,False,False,True,False,False
BAJAJ-AUTO.NS,2026-01-02,6,Uptrend (above rising SMA50); Volume spike (>1.5x avg); Near 20-day high; Strong RSI momentum; Weekly trend aligned (above Weekly EMA20); Outperforming index,9370.62,66.2,9042.43,9862.92,stop_loss_hit,9042.43,2026-01-20,12,-3.5,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False
BAJAJFINSV.NS,2026-01-02,4,RSI in healthy zone; MACD bullish crossover; Open-Low Same (conviction buy); Volume contracting (low selling pressure),2038.4,47.5,1951.34,2168.99,stop_loss_hit,1951.34,2026-01-20,12,-4.27,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False
BANKBARODA.NS,2026-01-02,7,Uptrend (above rising SMA50); MACD bullish crossover; Near 20-day high; Open-Low Same (conviction buy); Strong RSI momentum; Weekly trend aligned (above Weekly EMA20); Outperforming index,295.49,68.5,281.64,316.27,timeout,286.8714294433594,2026-01-23,15,-2.92,True,False,True,False,True,False,False,False,True,True,False,False,True,True,False
BEL.NS,2026-01-02,6,RSI in healthy zone; Near 20-day high; Open-Low Same (conviction buy); Pullback to SMA100 support; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),401.44,54.0,385.88,424.78,timeout,408.958984375,2026-01-23,15,1.87,False,True,False,False,True,False,False,False,True,False,True,True,True,False,False
BHARTIARTL.NS,2026-01-02,4,Uptrend (above rising SMA50); RSI in healthy zone; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),2106.3,51.8,2043.22,2200.92,stop_loss_hit,2043.22,2026-01-09,5,-2.99,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False
BOSCHLTD.NS,2026-01-02,7,MACD bullish crossover; Volume spike (>1.5x avg); Near 20-day high; ADX greater than 25; Open-Low Same (conviction buy); Strong RSI momentum; Weekly trend aligned (above Weekly EMA20),39420.0,73.1,37373.14,42490.29,stop_loss_hit,37373.14,2026-01-12,6,-5.19,False,False,True,True,True,True,False,False,True,True,False,False,True,False,False
BPCL.NS,2026-01-02,5,Uptrend (above rising SMA50); RSI in healthy zone; Near 20-day high; Weekly trend aligned (above Weekly EMA20); Outperforming index,370.98,64.9,355.12,394.78,stop_loss_hit,355.12,2026-01-06,2,-4.28,True,True,False,False,True,False,False,False,False,False,False,False,True,True,False
BRITANNIA.NS,2026-01-02,3,RSI in healthy zone; Pullback to SMA100 support; Weekly trend aligned (above Weekly EMA20),5984.5,50.3,5799.31,6262.28,target_hit,6262.28,2026-01-07,3,4.64,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
CANBK.NS,2026-01-02,6,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25; Strong RSI momentum; Weekly trend aligned (above Weekly EMA20); Outperforming index,149.92,66.3,143.63,159.37,stop_loss_hit,143.63,2026-01-12,6,-4.2,True,False,False,False,True,True,False,False,False,True,False,False,True,True,False
