combination,total_signals,closed_signals,target_hits,stop_loss_hits,timeouts,win_rate_target_vs_stop_pct,win_rate_overall_pct,avg_return_pct,profit_factor
volume_spike + adx_strong_trend + pullback_sma50,15,15,4,2,9,66.7,66.7,4.84,9.13
adx_strong_trend + sma_cross + sma100_support,10,10,6,3,1,66.7,60.0,3.54,3.77
uptrend_sma50 + adx_strong_trend + sma100_support,238,238,94,79,65,54.3,57.1,1.99,2.42
rsi_momentum + volume_spike + pullback_sma50,113,113,29,34,50,46.0,58.4,2.14,2.41
adx_strong_trend + sma_cross + pullback_sma50,14,14,5,4,5,55.6,57.1,0.97,2.01
volume_spike + pullback_sma50,129,129,30,39,60,43.5,54.3,1.66,2.0
uptrend_sma50 + volume_spike + pullback_sma50,129,129,30,39,60,43.5,54.3,1.66,2.0
adx_strong_trend + pullback_sma50 + sma100_support,15,15,5,5,5,50.0,53.3,1.34,1.88
rsi_momentum + macd_crossover + pullback_sma50,81,81,26,30,25,46.4,48.1,1.21,1.83
macd_crossover + adx_strong_trend + sma100_support,161,161,45,63,53,41.7,54.0,1.27,1.79
adx_strong_trend + pullback_sma50,78,78,24,30,24,44.4,50.0,1.2,1.75
uptrend_sma50 + adx_strong_trend + pullback_sma50,78,78,24,30,24,44.4,50.0,1.2,1.75
adx_strong_trend + ols_breakout + sma100_support,141,141,43,57,41,43.0,52.5,1.29,1.73
rsi_momentum + adx_strong_trend + pullback_sma50,67,67,18,25,24,41.9,49.3,1.16,1.72
volume_spike + adx_strong_trend + sma100_support,264,264,72,106,86,40.4,53.4,1.26,1.7
rsi_momentum + macd_crossover + sma_cross,158,158,42,69,47,37.8,46.8,1.21,1.66
rsi_momentum + adx_strong_trend + sma100_support,706,706,208,291,207,41.7,51.7,1.12,1.64
ols_breakout + strong_rsi + sma100_support,39,39,18,17,4,51.4,48.7,1.05,1.62
rsi_momentum + adx_strong_trend + sma_cross,549,549,168,250,131,40.2,49.5,1.1,1.6
volume_spike + adx_strong_trend + ols_breakout,856,854,250,404,200,38.2,46.0,1.05,1.54
rsi_momentum + macd_crossover + ols_breakout,1184,1184,332,543,309,37.9,47.4,0.96,1.54
volume_spike + pullback_sma50 + ols_breakout,27,27,4,9,14,30.8,51.9,0.84,1.54
macd_crossover + pullback_sma50 + ols_breakout,15,15,4,6,5,40.0,40.0,0.93,1.53
volume_spike + adx_strong_trend,7025,7015,2027,3238,1750,38.5,47.7,1.14,1.53
macd_crossover + pullback_sma50,87,87,26,32,29,44.8,46.0,0.85,1.52
uptrend_sma50 + macd_crossover + pullback_sma50,87,87,26,32,29,44.8,46.0,0.85,1.52
macd_crossover + volume_spike + adx_strong_trend,955,955,283,446,226,38.8,46.5,1.06,1.52
rsi_momentum + volume_spike + sma100_support,847,847,244,381,222,39.0,48.2,0.96,1.51
rsi_momentum + volume_spike + adx_strong_trend,2356,2356,640,1044,672,38.0,48.6,1.07,1.51
macd_crossover + sma_cross + ols_breakout,38,38,7,14,17,33.3,50.0,0.84,1.51
rsi_momentum + volume_spike + ols_breakout,1119,1118,309,523,286,37.1,46.5,0.91,1.48
rsi_momentum + sma_cross + sma100_support,73,73,22,33,18,40.0,45.2,0.83,1.46
uptrend_sma50 + rsi_momentum + sma100_support,1682,1682,511,833,338,38.0,45.1,0.83,1.45
volume_spike + ols_breakout,2171,2166,614,1044,508,37.0,45.8,0.87,1.45
macd_crossover + volume_spike + ols_breakout,576,576,162,277,137,36.9,44.6,0.87,1.45
sma_cross + sma100_support,91,91,25,38,28,39.7,47.3,0.78,1.43
uptrend_sma50 + volume_spike + adx_strong_trend,3952,3948,1195,1924,829,38.3,45.6,0.89,1.43
uptrend_sma50 + sma100_support,1848,1848,554,907,387,37.9,45.2,0.81,1.43
rsi_momentum + macd_crossover + sma100_support,851,851,248,416,187,37.3,45.4,0.82,1.43
rsi_momentum + pullback_sma50,612,611,173,292,146,37.2,45.0,0.74,1.43
uptrend_sma50 + rsi_momentum + pullback_sma50,612,611,173,292,146,37.2,45.0,0.74,1.43
rsi_momentum + adx_strong_trend + ols_breakout,1887,1886,513,896,477,36.4,45.8,0.83,1.43
uptrend_sma50 + rsi_momentum + volume_spike,3953,3951,1096,1909,946,36.5,45.7,0.84,1.42
macd_crossover + ols_breakout,1712,1712,465,818,429,36.2,45.4,0.78,1.42
macd_crossover + volume_spike,2675,2674,760,1296,618,37.0,44.8,0.84,1.41
rsi_momentum + macd_crossover + volume_spike,1480,1479,407,698,374,36.8,45.3,0.84,1.41
macd_crossover + sma_cross + sma100_support,8,8,3,3,2,50.0,50.0,1.06,1.4
breakout_proximity + pullback_sma50 + ols_breakout,30,30,8,12,10,40.0,46.7,0.73,1.4
ols_breakout + sma100_support,853,852,251,404,197,38.3,46.1,0.73,1.4
rsi_momentum + ols_breakout + sma100_support,678,678,201,327,150,38.1,45.0,0.72,1.4
uptrend_sma50 + adx_strong_trend + ols_breakout,2595,2592,779,1276,537,37.9,44.9,0.75,1.4
uptrend_sma50 + rsi_momentum + adx_strong_trend,14031,14025,3895,6599,3531,37.1,46.5,0.8,1.4
uptrend_sma50 + macd_crossover + ols_breakout,893,893,242,414,237,36.9,46.5,0.71,1.4
adx_strong_trend + ols_breakout,4179,4175,1166,2018,991,36.6,45.3,0.76,1.4
Single: volume_spike,16610,16589,4572,7949,4068,36.5,45.7,0.85,1.4
adx_strong_trend + sma_cross,1277,1277,351,614,312,36.4,46.5,0.77,1.4
rsi_momentum + macd_crossover + breakout_proximity,2691,2691,744,1303,644,36.3,45.0,0.75,1.4
uptrend_sma50 + volume_spike + ols_breakout,1359,1356,380,672,304,36.1,45.6,0.76,1.4
breakout_proximity + ols_breakout + sma100_support,284,284,94,143,47,39.7,45.1,0.7,1.39
adx_strong_trend + ols_breakout + strong_rsi,1509,1506,462,745,299,38.3,45.0,0.71,1.39
Single: pullback_sma50,648,647,183,307,157,37.3,44.7,0.68,1.39
uptrend_sma50 + pullback_sma50,648,647,183,307,157,37.3,44.7,0.68,1.39
adx_strong_trend + sma100_support,1407,1407,353,613,441,36.5,48.5,0.74,1.39
breakout_proximity + strong_rsi + sma100_support,183,183,65,83,35,43.9,45.9,0.67,1.38
uptrend_sma50 + sma_cross + sma100_support,85,85,24,37,24,39.3,44.7,0.71,1.38
uptrend_sma50 + adx_strong_trend,28290,28276,8193,13723,6360,37.4,45.7,0.75,1.38
macd_crossover + ols_breakout + sma100_support,153,153,44,75,34,37.0,45.1,0.74,1.38
macd_crossover + sma100_support,910,910,259,447,204,36.7,44.5,0.73,1.38
volume_spike + breakout_proximity + ols_breakout,1496,1491,434,750,307,36.7,44.9,0.73,1.38
Single: adx_strong_trend,47621,47598,12880,22757,11961,36.1,46.0,0.79,1.38
volume_spike + sma100_support,1366,1366,362,644,360,36.0,46.4,0.74,1.38
uptrend_sma50 + rsi_momentum + macd_crossover,3851,3851,1032,1841,978,35.9,45.7,0.73,1.38
rsi_momentum + ols_breakout,6727,6717,1867,3276,1574,36.3,44.9,0.7,1.37
uptrend_sma50 + adx_strong_trend + sma_cross,1234,1234,338,599,297,36.1,46.0,0.72,1.37
macd_crossover + adx_strong_trend + ols_breakout,571,571,145,274,152,34.6,44.3,0.71,1.37
uptrend_sma50 + volume_spike + sma100_support,326,326,80,152,94,34.5,45.4,0.72,1.37
volume_spike + breakout_proximity + adx_strong_trend,2998,2993,922,1524,547,37.7,44.0,0.75,1.36
rsi_momentum + sma100_support,5460,5458,1579,2700,1179,36.9,44.8,0.69,1.36
macd_crossover + volume_spike + breakout_proximity,1802,1802,518,899,385,36.6,44.0,0.73,1.36
uptrend_sma50 + volume_spike,8343,8334,2374,4146,1814,36.4,44.6,0.76,1.36
uptrend_sma50 + rsi_momentum + ols_breakout,3442,3436,954,1685,797,36.2,44.9,0.68,1.36
rsi_momentum + volume_spike,7445,7441,2017,3575,1849,36.1,45.4,0.76,1.36
rsi_momentum + adx_strong_trend,21331,21324,5583,10092,5649,35.6,45.9,0.73,1.36
Single: sma_cross,2772,2768,727,1320,721,35.5,46.3,0.69,1.36
uptrend_sma50 + macd_crossover + sma100_support,180,180,46,84,50,35.4,46.1,0.65,1.36
uptrend_sma50 + macd_crossover + volume_spike,1727,1727,484,856,387,36.1,43.9,0.73,1.35
rsi_momentum + macd_crossover,8611,8610,2253,4135,2222,35.3,45.1,0.69,1.35
uptrend_sma50 + ols_breakout,5824,5813,1638,2891,1284,36.2,44.5,0.63,1.34
Score >= 3,53325,53287,14875,26243,12169,36.2,44.9,0.68,1.34
Single: ols_breakout,10574,10557,2913,5187,2457,36.0,44.7,0.65,1.34
macd_crossover + breakout_proximity + ols_breakout,927,927,249,454,224,35.4,44.6,0.61,1.34
rsi_momentum + sma_cross,1579,1577,407,748,422,35.2,46.5,0.66,1.34
strong_rsi + sma100_support,187,187,65,86,36,43.0,45.5,0.6,1.33
volume_spike + ols_breakout + sma100_support,186,186,52,88,46,37.1,45.2,0.64,1.33
volume_spike + ols_breakout + strong_rsi,832,828,237,413,178,36.5,44.4,0.62,1.33
volume_spike + breakout_proximity,6806,6794,1979,3462,1353,36.4,43.8,0.69,1.33
Score >= 4,24080,24058,6894,12056,5108,36.4,44.3,0.64,1.33
uptrend_sma50 + volume_spike + breakout_proximity,5284,5275,1545,2706,1024,36.3,43.5,0.69,1.33
Single: macd_crossover,12660,12658,3321,6165,3172,35.0,44.7,0.67,1.33
adx_strong_trend + strong_rsi,12886,12877,3816,6506,2555,37.0,44.5,0.63,1.32
volume_spike + breakout_proximity + strong_rsi,3744,3735,1089,1915,731,36.3,43.4,0.65,1.32
volume_spike + sma_cross + strong_rsi,183,182,49,86,47,36.3,46.7,0.67,1.32
sma_cross + strong_rsi,843,841,217,411,213,34.6,45.3,0.61,1.32
uptrend_sma50 + sma_cross + strong_rsi,842,840,217,410,213,34.6,45.4,0.61,1.32
uptrend_sma50 + adx_strong_trend + strong_rsi,12448,12440,3689,6298,2453,36.9,44.4,0.61,1.31
volume_spike + strong_rsi,4083,4074,1182,2083,809,36.2,43.5,0.65,1.31
Score >= 5,7673,7664,2182,3866,1616,36.1,43.9,0.6,1.31
Single: sma100_support,8265,8262,2261,4070,1931,35.7,44.5,0.61,1.31
Single: uptrend_sma50,57183,57135,15742,28418,12975,35.6,44.3,0.62,1.31
macd_crossover + breakout_proximity,5071,5070,1401,2537,1132,35.6,43.8,0.6,1.31
uptrend_sma50 + macd_crossover,6305,6304,1702,3104,1498,35.4,44.5,0.62,1.31
uptrend_sma50 + rsi_momentum + sma_cross,1446,1444,372,689,383,35.1,45.9,0.6,1.31
rsi_momentum + sma_cross + ols_breakout,152,151,40,75,36,34.8,43.7,0.58,1.31
macd_crossover + adx_strong_trend,4688,4688,1176,2267,1245,34.2,44.9,0.66,1.31
ols_breakout + strong_rsi,2401,2395,692,1207,496,36.4,43.8,0.55,1.3
uptrend_sma50 + macd_crossover + breakout_proximity,4241,4240,1176,2117,947,35.7,43.8,0.59,1.3
uptrend_sma50 + rsi_momentum,37874,37842,10163,18727,8952,35.2,44.3,0.61,1.3
adx_strong_trend + sma_cross + ols_breakout,128,128,35,65,28,35.0,43.8,0.57,1.3
uptrend_sma50 + sma_cross,2407,2403,617,1165,621,34.6,45.4,0.59,1.3
rsi_momentum + breakout_proximity + sma_cross,315,315,76,145,94,34.4,45.7,0.56,1.3
macd_crossover + sma_cross,273,273,66,132,75,33.3,43.6,0.59,1.3
breakout_proximity + adx_strong_trend + ols_breakout,2029,2026,596,1037,393,36.5,43.2,0.54,1.29
Single: strong_rsi,18065,18047,5192,9125,3730,36.3,44.0,0.58,1.29
uptrend_sma50 + ols_breakout + strong_rsi,2182,2177,624,1100,453,36.2,43.8,0.54,1.29
macd_crossover + volume_spike + strong_rsi,1024,1024,292,522,210,35.9,42.8,0.6,1.29
rsi_momentum + pullback_sma50 + ols_breakout,142,141,37,68,36,35.2,41.8,0.5,1.29
Single: rsi_momentum,65272,65217,17237,32257,15723,34.8,44.2,0.59,1.29
rsi_momentum + breakout_proximity + pullback_sma50,110,110,24,46,40,34.3,48.2,0.53,1.29
uptrend_sma50 + macd_crossover + sma_cross,253,253,61,121,71,33.5,43.5,0.58,1.29
