combination,total_signals,closed_signals,target_hits,stop_loss_hits,timeouts,win_rate_target_vs_stop_pct,win_rate_overall_pct,avg_return_pct,profit_factor
uptrend_sma50 + breakout_proximity + adx_strong_trend,12321,12312,3687,6368,2257,36.7,43.4,0.55,1.28
breakout_proximity + adx_strong_trend,13974,13964,4079,7209,2676,36.1,43.4,0.54,1.28
uptrend_sma50 + strong_rsi,16954,16938,4844,8595,3499,36.0,43.9,0.56,1.28
breakout_proximity + ols_breakout,4718,4709,1347,2403,959,35.9,43.4,0.52,1.28
rsi_momentum + breakout_proximity + ols_breakout,2277,2274,647,1162,465,35.8,43.3,0.52,1.28
breakout_proximity + sma100_support,1515,1515,435,787,293,35.6,43.6,0.52,1.28
Score >= 6,1768,1766,480,871,415,35.5,43.7,0.55,1.28
rsi_momentum + volume_spike + breakout_proximity,2501,2498,682,1271,545,34.9,43.6,0.57,1.28
rsi_momentum + macd_crossover + adx_strong_trend,2006,2006,456,936,614,32.8,45.3,0.6,1.28
adx_strong_trend + strong_rsi + sma100_support,51,51,15,25,11,37.5,41.2,0.48,1.27
breakout_proximity + ols_breakout + strong_rsi,2270,2264,648,1149,467,36.1,43.4,0.49,1.27
uptrend_sma50 + breakout_proximity,23113,23092,6578,11863,4651,35.7,43.2,0.52,1.27
pullback_sma50 + ols_breakout,151,150,40,72,38,35.7,41.3,0.47,1.27
uptrend_sma50 + breakout_proximity + ols_breakout,3487,3482,987,1775,720,35.7,43.5,0.51,1.27
uptrend_sma50 + pullback_sma50 + ols_breakout,151,150,40,72,38,35.7,41.3,0.47,1.27
uptrend_sma50 + volume_spike + strong_rsi,3656,3649,1038,1885,726,35.5,43.0,0.58,1.27
Single: breakout_proximity,30102,30075,8480,15465,6130,35.4,43.2,0.52,1.27
rsi_momentum + breakout_proximity + sma100_support,1332,1332,370,704,258,34.5,43.2,0.5,1.27
uptrend_sma50 + ols_breakout + sma100_support,192,192,55,92,45,37.4,44.3,0.47,1.26
breakout_proximity + adx_strong_trend + strong_rsi,9659,9650,2846,4997,1807,36.3,43.3,0.51,1.26
breakout_proximity + strong_rsi,14556,14538,4162,7480,2896,35.7,43.1,0.5,1.26
uptrend_sma50 + rsi_momentum + breakout_proximity,8328,8323,2283,4270,1770,34.8,42.9,0.49,1.26
adx_strong_trend + sma_cross + strong_rsi,603,603,151,297,155,33.7,44.9,0.51,1.26
volume_spike + adx_strong_trend + sma_cross,204,204,44,99,61,30.8,47.1,0.53,1.26
volume_spike + adx_strong_trend + strong_rsi,2263,2258,655,1176,427,35.8,42.4,0.54,1.25
macd_crossover + breakout_proximity + adx_strong_trend,1794,1794,500,912,382,35.4,43.9,0.49,1.25
uptrend_sma50 + breakout_proximity + strong_rsi,13493,13477,3829,6970,2678,35.5,42.9,0.47,1.24
rsi_momentum + breakout_proximity,14237,14228,3848,7354,3026,34.4,42.8,0.47,1.24
uptrend_sma50 + breakout_proximity + sma_cross,1040,1038,261,517,260,33.5,43.8,0.45,1.24
breakout_proximity + sma_cross,1052,1050,262,526,262,33.2,43.6,0.43,1.23
sma_cross + ols_breakout,276,274,67,138,69,32.7,43.8,0.43,1.23
volume_spike + breakout_proximity + sma100_support,387,387,111,194,82,36.4,45.7,0.45,1.22
uptrend_sma50 + breakout_proximity + sma100_support,414,414,117,217,80,35.0,41.5,0.41,1.22
uptrend_sma50 + macd_crossover + adx_strong_trend,2065,2065,565,1056,444,34.9,43.4,0.44,1.21
uptrend_sma50 + sma_cross + ols_breakout,249,247,61,123,63,33.2,43.7,0.4,1.21
macd_crossover + sma_cross + pullback_sma50,27,27,8,10,9,44.4,44.4,0.4,1.2
macd_crossover + strong_rsi,2436,2435,658,1257,520,34.4,42.4,0.4,1.2
volume_spike + breakout_proximity + sma_cross,261,260,64,129,67,33.2,42.3,0.43,1.2
breakout_proximity + sma_cross + strong_rsi,665,663,168,338,157,33.2,43.3,0.38,1.2
sma_cross + ols_breakout + strong_rsi,107,106,25,52,29,32.5,45.3,0.37,1.2
volume_spike + sma_cross,437,436,96,214,126,31.0,45.0,0.43,1.2
volume_spike + breakout_proximity + pullback_sma50,55,55,8,18,29,30.8,47.3,0.42,1.2
macd_crossover + adx_strong_trend + strong_rsi,1474,1474,406,760,308,34.8,43.0,0.38,1.19
uptrend_sma50 + macd_crossover + strong_rsi,2358,2357,633,1216,508,34.2,42.4,0.39,1.19
macd_crossover + breakout_proximity + strong_rsi,2285,2284,620,1187,477,34.3,42.1,0.37,1.18
macd_crossover + ols_breakout + strong_rsi,428,428,110,216,102,33.7,42.1,0.33,1.17
rsi_momentum + breakout_proximity + adx_strong_trend,3045,3044,777,1599,668,32.7,41.8,0.34,1.17
macd_crossover + volume_spike + pullback_sma50,26,26,4,8,14,33.3,46.2,0.33,1.15
breakout_proximity + sma_cross + ols_breakout,155,154,37,79,38,31.9,42.2,0.3,1.15
uptrend_sma50 + volume_spike + sma_cross,393,392,87,195,110,30.9,43.6,0.32,1.15
breakout_proximity + adx_strong_trend + sma_cross,576,576,141,306,129,31.5,41.7,0.24,1.12
breakout_proximity + pullback_sma50,123,123,24,49,50,32.9,45.5,0.21,1.11
uptrend_sma50 + breakout_proximity + pullback_sma50,123,123,24,49,50,32.9,45.5,0.21,1.11
rsi_momentum + sma_cross + pullback_sma50,164,164,38,82,44,31.7,39.6,0.22,1.11
uptrend_sma50 + strong_rsi + sma100_support,61,61,16,27,18,37.2,44.3,0.18,1.1
macd_crossover + volume_spike + sma100_support,199,199,46,101,52,31.3,42.2,0.18,1.08
macd_crossover + breakout_proximity + pullback_sma50,39,39,8,13,18,38.1,43.6,0.14,1.07
sma_cross + pullback_sma50,174,174,40,87,47,31.5,39.1,0.12,1.06
uptrend_sma50 + sma_cross + pullback_sma50,174,174,40,87,47,31.5,39.1,0.12,1.06
breakout_proximity + adx_strong_trend + sma100_support,167,167,41,87,39,32.0,42.5,0.07,1.04
macd_crossover + breakout_proximity + sma100_support,264,264,61,149,54,29.0,38.6,0.04,1.02
macd_crossover + adx_strong_trend + sma_cross,80,80,18,42,20,30.0,42.5,-0.02,0.99
sma_cross + pullback_sma50 + ols_breakout,49,49,11,26,12,29.7,38.8,-0.02,0.99
rsi_momentum + volume_spike + sma_cross,185,185,31,95,59,24.6,41.6,-0.07,0.97
rsi_momentum + pullback_sma50 + sma100_support,127,127,28,65,34,30.1,39.4,-0.12,0.94
volume_spike + sma_cross + ols_breakout,72,71,12,40,19,23.1,36.6,-0.15,0.93
breakout_proximity + sma_cross + sma100_support,16,16,5,6,5,45.5,43.8,-0.2,0.92
volume_spike + strong_rsi + sma100_support,93,93,25,49,19,33.8,38.7,-0.17,0.92
macd_crossover + breakout_proximity + sma_cross,182,182,36,99,47,26.7,37.4,-0.18,0.92
macd_crossover + volume_spike + sma_cross,81,81,16,47,18,25.4,33.3,-0.26,0.9
macd_crossover + sma_cross + strong_rsi,114,114,23,63,28,26.7,38.6,-0.3,0.87
pullback_sma50 + sma100_support,142,142,30,73,39,29.1,36.6,-0.39,0.81
uptrend_sma50 + pullback_sma50 + sma100_support,142,142,30,73,39,29.1,36.6,-0.39,0.81
volume_spike + sma_cross + pullback_sma50,41,41,5,18,18,21.7,36.6,-0.6,0.77
volume_spike + pullback_sma50 + sma100_support,39,39,4,15,20,21.1,41.0,-0.6,0.75
adx_strong_trend + pullback_sma50 + ols_breakout,15,15,3,8,4,27.3,33.3,-0.59,0.74
breakout_proximity + sma_cross + pullback_sma50,44,44,7,19,18,26.9,36.4,-0.67,0.73
sma_cross + ols_breakout + sma100_support,9,9,2,5,2,28.6,33.3,-1.03,0.54
sma_cross + pullback_sma50 + sma100_support,35,35,5,20,10,20.0,25.7,-1.49,0.45
volume_spike + sma_cross + sma100_support,19,19,2,9,8,18.2,31.6,-1.65,0.43
pullback_sma50 + ols_breakout + sma100_support,35,35,5,20,10,20.0,31.4,-1.25,0.42
macd_crossover + pullback_sma50 + sma100_support,17,17,2,8,7,20.0,23.5,-1.84,0.37
breakout_proximity + pullback_sma50 + sma100_support,24,24,3,11,10,21.4,25.0,-2.0,0.33
macd_crossover + strong_rsi + sma100_support,24,24,3,14,7,17.6,25.0,-2.12,0.27
pullback_sma50 + strong_rsi,13,13,0,3,10,0.0,23.1,-2.45,0.15
uptrend_sma50 + pullback_sma50 + strong_rsi,13,13,0,3,10,0.0,23.1,-2.45,0.15
volume_spike + pullback_sma50 + strong_rsi,13,13,0,3,10,0.0,23.1,-2.45,0.15
breakout_proximity + pullback_sma50 + strong_rsi,13,13,0,3,10,0.0,23.1,-2.45,0.15
macd_crossover + pullback_sma50 + strong_rsi,6,6,0,2,4,0.0,16.7,-4.04,0.04
pullback_sma50 + strong_rsi + sma100_support,7,7,0,2,5,0.0,0.0,-4.17,0.0
rsi_momentum + strong_rsi,1,1,0,0,1,,0.0,-0.77,0.0
