symbol,signal_date,score,setup_type,entry_price,rsi,adx,stop_loss,target,reasons,outcome,exit_price,exit_date,days_held,return_pct,pointer_uptrend_sma50,pointer_rsi_momentum,pointer_macd_crossover,pointer_volume_spike,pointer_breakout_proximity,pointer_adx_strong_trend,pointer_sma_cross,pointer_pullback_sma50,pointer_ols_breakout,pointer_strong_rsi,pointer_sma100_support
INFY.NS,2025-06-06,2,momentum,1507.6,56.4,26.136690745506506,1463.76,1595.27,RSI in healthy zone; ADX greater than 25,timeout,1550.208984375,2025-06-27,15,2.83,False,True,False,False,False,True,False,False,False,False,False
RELIANCE.NS,2025-06-06,3,momentum,1431.14,61.6,23.785845862114773,1394.98,1503.46,Uptrend (above rising SMA50); RSI in healthy zone; Near 20-day high,target_hit,1503.46,2025-06-27,15,5.05,True,True,False,False,True,False,False,False,False,False,False
INFY.NS,2025-06-09,3,momentum,1516.37,58.5,26.888792603338004,1473.17,1602.77,RSI in healthy zone; MACD bullish crossover; ADX greater than 25,timeout,1544.2318115234375,2025-06-30,15,1.84,False,True,True,False,False,True,False,False,False,False,False
RELIANCE.NS,2025-06-09,3,momentum,1436.4,62.7,24.188762687588973,1401.33,1506.53,Uptrend (above rising SMA50); RSI in healthy zone; Near 20-day high,target_hit,1506.53,2025-06-27,14,4.88,True,True,False,False,True,False,False,False,False,False,False
TCS.NS,2025-06-09,1,momentum,3292.35,48.0,14.0302198690582,3210.39,3456.27,RSI in healthy zone,timeout,3330.93212890625,2025-06-30,15,1.17,False,True,False,False,False,False,False,False,False,False,False
INFY.NS,2025-06-10,4,momentum,1538.64,63.2,28.080963816400395,1494.95,1626.02,RSI in healthy zone; MACD bullish crossover; Near 20-day high; ADX greater than 25,timeout,1549.0521240234375,2025-07-01,15,0.68,False,True,True,False,True,True,False,False,False,False,False
RELIANCE.NS,2025-06-10,2,momentum,1426.18,59.0,24.02208100059509,1391.72,1495.11,Uptrend (above rising SMA50); RSI in healthy zone,target_hit,1495.11,2025-06-27,13,4.83,True,True,False,False,False,False,False,False,False,False,False
TCS.NS,2025-06-10,1,momentum,3331.8,53.3,14.005572760676259,3249.11,3497.17,RSI in healthy zone,stop_loss_hit,3249.11,2025-06-23,9,-2.48,False,True,False,False,False,False,False,False,False,False,False
INFY.NS,2025-06-11,7,momentum,1572.48,69.0,29.75957989035328,1527.31,1662.82,Uptrend (above rising SMA50); MACD bullish crossover; Volume spike (>1.5x avg); Near 20-day high; ADX greater than 25; Open-Low Same (conviction buy); Strong RSI momentum,stop_loss_hit,1527.31,2025-06-13,2,-2.87,True,False,True,True,True,True,False,False,True,True,False
RELIANCE.NS,2025-06-11,4,momentum,1436.49,61.5,24.375697805683732,1401.29,1506.9,Uptrend (above rising SMA50); RSI in healthy zone; Near 20-day high; Open-Low Same (conviction buy),target_hit,1506.9,2025-06-27,12,4.9,True,True,False,False,True,False,False,False,True,False,False
TCS.NS,2025-06-11,2,momentum,3340.46,54.4,14.051883865087735,3259.56,3502.25,RSI in healthy zone; MACD bullish crossover,stop_loss_hit,3259.56,2025-06-23,8,-2.42,False,True,True,False,False,False,False,False,False,False,False
INFY.NS,2025-06-12,4,momentum,1550.79,62.2,31.317968360808603,1505.44,1641.48,Uptrend (above rising SMA50); RSI in healthy zone; Volume spike (>1.5x avg); ADX greater than 25,timeout,1560.5244140625,2025-07-03,15,0.63,True,True,False,True,False,True,False,False,False,False,False
RELIANCE.NS,2025-06-12,2,momentum,1429.26,58.8,24.194060650965508,1394.17,1499.43,Uptrend (above rising SMA50); RSI in healthy zone,target_hit,1499.43,2025-06-27,11,4.91,True,True,False,False,False,False,False,False,False,False,False
TCS.NS,2025-06-12,3,momentum,3304.18,49.2,13.495110885690917,3223.76,3465.03,RSI in healthy zone; MACD bullish crossover; Volume spike (>1.5x avg),timeout,3272.049072265625,2025-07-03,15,-0.97,False,True,True,True,False,False,False,False,False,False,False
INFY.NS,2025-06-13,3,momentum,1544.42,60.4,31.223224686570546,1498.31,1636.65,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25,timeout,1581.7337646484375,2025-07-04,15,2.42,True,True,False,False,False,True,False,False,False,False,False
RELIANCE.NS,2025-06-13,2,momentum,1415.67,54.0,22.98108993832955,1380.19,1486.64,Uptrend (above rising SMA50); RSI in healthy zone,target_hit,1486.64,2025-06-27,10,5.01,True,True,False,False,False,False,False,False,False,False,False
TCS.NS,2025-06-13,3,momentum,3315.25,50.7,12.778513763402062,3234.66,3476.43,RSI in healthy zone; MACD bullish crossover; Open-Low Same (conviction buy),timeout,3290.329833984375,2025-07-04,15,-0.75,False,True,True,False,False,False,False,False,True,False,False
INFY.NS,2025-06-16,5,momentum,1565.44,64.2,31.745476440559138,1518.72,1658.88,Uptrend (above rising SMA50); RSI in healthy zone; Near 20-day high; ADX greater than 25; Open-Low Same (conviction buy),timeout,1568.526123046875,2025-07-07,15,0.2,True,True,False,False,True,True,False,False,True,False,False
RELIANCE.NS,2025-06-16,4,momentum,1425.49,56.7,22.134960670986466,1390.63,1495.21,Uptrend (above rising SMA50); RSI in healthy zone; Near 20-day high; Open-Low Same (conviction buy),target_hit,1495.21,2025-06-27,9,4.89,True,True,False,False,True,False,False,False,True,False,False
TCS.NS,2025-06-16,2,momentum,3363.93,57.0,12.766029074123308,3280.56,3530.68,RSI in healthy zone; Near 20-day high,stop_loss_hit,3280.56,2025-06-23,5,-2.48,False,True,False,False,True,False,False,False,False,False,False
INFY.NS,2025-06-17,4,momentum,1580.96,66.7,32.49972187831889,1534.3,1674.29,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25; Strong RSI momentum,stop_loss_hit,1534.3,2025-06-23,4,-2.95,True,False,False,False,True,True,False,False,False,True,False
RELIANCE.NS,2025-06-17,2,momentum,1418.95,54.4,21.58083067333789,1384.22,1488.4,Uptrend (above rising SMA50); RSI in healthy zone,target_hit,1488.4,2025-06-27,8,4.89,True,True,False,False,False,False,False,False,False,False,False
TCS.NS,2025-06-17,2,momentum,3382.21,59.0,12.941316387336707,3301.51,3543.62,RSI in healthy zone; Near 20-day high,stop_loss_hit,3301.51,2025-06-19,2,-2.39,False,True,False,False,True,False,False,False,False,False,False
