symbol,signal_date,score,reasons,entry_price,rsi,stop_loss,target,outcome,exit_price,exit_date,days_held,return_pct,pointer_uptrend_sma50,pointer_rsi_momentum,pointer_macd_crossover,pointer_volume_spike,pointer_breakout_proximity,pointer_adx_strong_trend,pointer_sma_cross,pointer_pullback_sma50,pointer_ols_breakout,pointer_strong_rsi,pointer_sma100_support,pointer_volume_contraction,pointer_weekly_trend_up,pointer_outperforming_index,pointer_rsi2_pullback,pointer_stoch_pullback,pointer_bb_pullback,pointer_inside_bar_breakout,pointer_nr7_breakout,pointer_ema21_pullback,pointer_hammer_at_support
DRREDDY.NS,2026-03-02,7,Uptrend (above rising SMA50); RSI in healthy zone; Pullback to SMA100 support; Weekly trend aligned (above Weekly EMA20); Outperforming index; Bollinger Band lower support pullback; EMA 21 support pullback,1294.4,57.5,1231.52,1352.648,timeout,1259.5999755859375,2026-03-24,15,-2.69,True,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False
EICHERMOT.NS,2026-03-02,6,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25; Weekly trend aligned (above Weekly EMA20); Outperforming index; EMA 21 support pullback,7826.0,54.1,7430.09,8178.169999999999,stop_loss_hit,7430.09,2026-03-09,4,-5.06,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False
HINDALCO.NS,2026-03-02,5,Uptrend (above rising SMA50); RSI in healthy zone; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,940.0,52.4,883.36,982.3,target_hit,982.3,2026-03-05,2,4.5,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False
HINDZINC.NS,2026-03-02,6,RSI in healthy zone; MACD bullish crossover; Open-Low Same (conviction buy); Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,606.57,51.3,553.15,633.86565,stop_loss_hit,553.15,2026-03-13,8,-8.81,False,True,True,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False
IOC.NS,2026-03-02,6,Uptrend (above rising SMA50); RSI in healthy zone; Volume spike (>1.5x avg); ADX greater than 25; Weekly trend aligned (above Weekly EMA20); Outperforming index,176.88,56.3,168.06,184.8396,stop_loss_hit,168.06,2026-03-04,1,-4.99,True,True,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
JINDALSTEL.NS,2026-03-02,5,Uptrend (above rising SMA50); ADX greater than 25; Strong RSI momentum; Weekly trend aligned (above Weekly EMA20); Outperforming index,1237.8,65.6,1177.86,1293.501,stop_loss_hit,1177.86,2026-03-04,1,-4.84,True,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False
JSWSTEEL.NS,2026-03-02,5,Uptrend (above rising SMA50); RSI in healthy zone; MACD bullish crossover; Weekly trend aligned (above Weekly EMA20); Outperforming index,1267.3,61.2,1206.47,1324.3284999999998,stop_loss_hit,1206.47,2026-03-04,1,-4.8,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
LT.NS,2026-03-02,6,Uptrend (above rising SMA50); Volume spike (>1.5x avg); ADX greater than 25; Pullback to SMA100 support; Weekly trend aligned (above Weekly EMA20); Bollinger Band lower support pullback,4027.36,43.4,3833.61,4208.5912,stop_loss_hit,3833.61,2026-03-04,1,-4.81,True,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False
MAXHEALTH.NS,2026-03-02,4,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25; Outperforming index,1083.6,57.9,1033.21,1132.3619999999999,stop_loss_hit,1033.21,2026-03-06,3,-4.65,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
MOTHERSON.NS,2026-03-02,6,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,128.25,53.6,120.19,134.02124999999998,stop_loss_hit,120.19,2026-03-09,4,-6.28,True,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False
NTPC.NS,2026-03-02,5,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25; Weekly trend aligned (above Weekly EMA20); Outperforming index,377.55,62.6,361.87,394.53974999999997,timeout,375.54998779296875,2026-03-24,15,-0.53,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
ONGC.NS,2026-03-02,9,Uptrend (above rising SMA50); Volume spike (>1.5x avg); Near 20-day high; ADX greater than 25; Momentum Breakout (VCP + volume spike); Strong RSI momentum; Weekly trend aligned (above Weekly EMA20); Outperforming index,282.2,69.0,267.42,294.89899999999994,stop_loss_hit,267.42,2026-03-10,5,-5.24,True,False,False,True,True,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False
PFC.NS,2026-03-02,8,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25; Recent SMA50/SMA100 bullish crossover; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index; EMA 21 support pullback,403.0,53.3,380.11,421.135,target_hit,421.135,2026-03-06,3,4.5,True,True,False,False,False,True,True,False,False,False,False,True,True,True,False,False,False,False,False,True,False
PNB.NS,2026-03-02,4,Uptrend (above rising SMA50); RSI in healthy zone; Weekly trend aligned (above Weekly EMA20); Outperforming index,122.49,50.0,115.93,128.00205,stop_loss_hit,115.93,2026-03-06,3,-5.36,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
POWERGRID.NS,2026-03-02,7,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25; Recent SMA50/SMA100 bullish crossover; Weekly trend aligned (above Weekly EMA20); Outperforming index; EMA 21 support pullback,296.8,58.8,283.04,310.156,timeout,299.0,2026-03-24,15,0.74,True,True,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False
SBILIFE.NS,2026-03-02,4,RSI in healthy zone; Pullback to SMA100 support; Weekly trend aligned (above Weekly EMA20); Outperforming index,2029.38,46.8,1944.78,2120.7021,stop_loss_hit,1944.78,2026-03-04,1,-4.17,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False
SBIN.NS,2026-03-02,6,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,1168.83,61.4,1122.7,1221.42735,stop_loss_hit,1122.7,2026-03-06,3,-3.95,True,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False
SHRIRAMFIN.NS,2026-03-02,4,Uptrend (above rising SMA50); RSI in healthy zone; Weekly trend aligned (above Weekly EMA20); Outperforming index,1052.5,52.1,993.15,1099.8625,stop_loss_hit,993.15,2026-03-04,1,-5.64,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
SIEMENS.NS,2026-03-02,4,Uptrend (above rising SMA50); RSI in healthy zone; Weekly trend aligned (above Weekly EMA20); Outperforming index,3341.6,59.9,3130.95,3491.9719999999998,stop_loss_hit,3130.95,2026-03-09,4,-6.3,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
SOLARINDS.NS,2026-03-02,11,Uptrend (above rising SMA50); RSI in healthy zone; MACD bullish crossover; Volume spike (>1.5x avg); Near 20-day high; Momentum Breakout (VCP + volume spike); Open-Low Same (conviction buy); Weekly trend aligned (above Weekly EMA20); Outperforming index; Inside Bar breakout,13989.0,61.6,13110.84,14618.505,target_hit,14618.505,2026-03-05,2,4.5,True,True,True,True,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False
SUNPHARMA.NS,2026-03-02,7,RSI in healthy zone; Volume spike (>1.5x avg); ADX greater than 25; Open-Low Same (conviction buy); Pullback to SMA100 support; Weekly trend aligned (above Weekly EMA20); Outperforming index,1752.5,58.9,1690.55,1831.3625,target_hit,1831.3625,2026-03-11,6,4.5,False,True,False,True,False,True,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False
