combination,total_signals,closed_signals,target_hits,stop_loss_hits,timeouts,win_rate_target_vs_stop_pct,win_rate_overall_pct,avg_return_pct,profit_factor
Single: volume_spike,298,298,62,165,71,27.3,40.3,0.03,1.02
uptrend_sma50 + macd_crossover,104,104,23,62,19,27.1,38.5,0.02,1.01
macd_crossover + adx_strong_trend,117,117,25,66,26,27.5,38.5,0.0,1.0
uptrend_sma50 + rsi_momentum + adx_strong_trend,260,260,48,132,80,26.7,43.8,-0.04,0.97
macd_crossover + breakout_proximity,81,81,19,49,13,27.9,38.3,-0.06,0.96
volume_spike + breakout_proximity,97,97,19,59,19,24.4,38.1,-0.13,0.92
volume_spike + adx_strong_trend,121,121,18,66,37,21.4,39.7,-0.18,0.9
Score >= 4,212,212,47,127,38,27.0,37.3,-0.21,0.88
uptrend_sma50 + volume_spike,112,112,24,69,19,25.8,36.6,-0.24,0.86
uptrend_sma50 + macd_crossover + breakout_proximity,65,65,15,42,8,26.3,33.8,-0.3,0.83
rsi_momentum + macd_crossover + adx_strong_trend,64,64,9,37,18,19.6,34.4,-0.42,0.78
uptrend_sma50 + volume_spike + adx_strong_trend,50,50,8,32,10,20.0,36.0,-0.4,0.77
uptrend_sma50 + volume_spike + breakout_proximity,73,73,12,48,13,20.0,32.9,-0.52,0.71
macd_crossover + breakout_proximity + adx_strong_trend,29,29,6,20,3,23.1,27.6,-0.7,0.63
uptrend_sma50 + macd_crossover + adx_strong_trend,34,34,6,24,4,20.0,26.5,-0.75,0.62
volume_spike + breakout_proximity + adx_strong_trend,38,38,4,27,7,12.9,28.9,-0.86,0.55
macd_crossover + volume_spike,39,39,6,27,6,18.2,25.6,-1.0,0.53
macd_crossover + volume_spike + adx_strong_trend,18,18,2,12,4,14.3,22.2,-1.06,0.48
rsi_momentum + breakout_proximity + adx_strong_trend,69,69,7,47,15,13.0,29.0,-1.02,0.48
Score >= 5,29,29,3,22,4,12.0,20.7,-1.35,0.37
sma_cross + pullback_sma50,5,5,0,4,1,0.0,20.0,-1.47,0.33
uptrend_sma50 + sma_cross + pullback_sma50,5,5,0,4,1,0.0,20.0,-1.47,0.33
rsi_momentum + sma_cross + pullback_sma50,5,5,0,4,1,0.0,20.0,-1.47,0.33
uptrend_sma50 + macd_crossover + volume_spike,23,23,2,19,2,9.5,17.4,-1.62,0.32
macd_crossover + volume_spike + breakout_proximity,22,22,2,18,2,10.0,18.2,-1.66,0.29
rsi_momentum + pullback_sma50,15,15,1,12,2,7.7,13.3,-1.59,0.29
uptrend_sma50 + rsi_momentum + pullback_sma50,15,15,1,12,2,7.7,13.3,-1.59,0.29
Single: pullback_sma50,16,16,1,13,2,7.1,12.5,-1.64,0.27
uptrend_sma50 + pullback_sma50,16,16,1,13,2,7.1,12.5,-1.64,0.27
macd_crossover + sma_cross,1,1,0,1,0,0.0,0.0,-3.35,0.0
macd_crossover + pullback_sma50,1,1,0,1,0,0.0,0.0,-2.9,0.0
adx_strong_trend + pullback_sma50,2,2,0,1,1,0.0,0.0,-2.4,0.0
Score >= 6,1,1,0,1,0,0.0,0.0,-2.34,0.0
