combination,total_signals,closed_signals,target_hits,stop_loss_hits,timeouts,win_rate_target_vs_stop_pct,win_rate_overall_pct,avg_return_pct,profit_factor
ols_breakout + strong_rsi,2416,2411,684,1228,499,35.8,43.2,0.53,1.28
breakout_proximity + adx_strong_trend + ols_breakout,2041,2039,589,1055,395,35.8,42.7,0.53,1.28
rsi_momentum + macd_crossover + adx_strong_trend,2043,2043,470,962,611,32.8,45.1,0.59,1.28
Single: strong_rsi,18106,18088,5129,9226,3733,35.7,43.5,0.55,1.27
Single: breakout_proximity,30327,30300,8531,15596,6173,35.4,43.1,0.52,1.27
rsi_momentum + breakout_proximity,14444,14434,3963,7400,3071,34.9,43.3,0.51,1.27
uptrend_sma50 + breakout_proximity + adx_strong_trend,12344,12336,3637,6446,2253,36.1,42.8,0.52,1.26
breakout_proximity + adx_strong_trend,13989,13980,4033,7289,2658,35.6,42.8,0.52,1.26
breakout_proximity + ols_breakout + strong_rsi,2287,2282,644,1167,471,35.6,43.0,0.49,1.26
uptrend_sma50 + strong_rsi,16972,16956,4769,8694,3493,35.4,43.2,0.52,1.26
uptrend_sma50 + ols_breakout + strong_rsi,2188,2184,610,1120,454,35.3,42.9,0.5,1.26
uptrend_sma50 + breakout_proximity,23267,23247,6539,12022,4686,35.2,42.8,0.5,1.26
uptrend_sma50 + breakout_proximity + ols_breakout,3537,3533,985,1818,730,35.1,42.9,0.49,1.26
uptrend_sma50 + rsi_momentum + breakout_proximity,8487,8482,2320,4346,1816,34.8,42.9,0.5,1.26
sma_cross + sma100_support,97,97,23,45,29,33.8,43.3,0.49,1.26
breakout_proximity + adx_strong_trend + strong_rsi,9637,9629,2795,5041,1793,35.7,42.7,0.48,1.25
macd_crossover + breakout_proximity + adx_strong_trend,1787,1787,494,908,385,35.2,44.0,0.49,1.25
uptrend_sma50 + breakout_proximity + sma100_support,427,427,119,222,86,34.9,41.9,0.44,1.25
adx_strong_trend + sma_cross + ols_breakout,134,134,36,70,28,34.0,41.8,0.47,1.25
rsi_momentum + sma_cross + sma100_support,79,79,20,40,19,33.3,40.5,0.47,1.25
strong_rsi + sma100_support,185,185,61,90,34,40.4,43.8,0.45,1.24
breakout_proximity + strong_rsi,14584,14567,4109,7559,2899,35.2,42.6,0.47,1.24
sma_cross + ols_breakout,287,285,71,145,69,32.9,43.2,0.44,1.24
uptrend_sma50 + sma_cross + strong_rsi,837,835,205,419,211,32.9,43.6,0.47,1.24
sma_cross + strong_rsi,838,836,205,420,211,32.8,43.5,0.46,1.24
uptrend_sma50 + ols_breakout + sma100_support,212,212,57,102,53,35.8,43.4,0.39,1.22
uptrend_sma50 + breakout_proximity + strong_rsi,13498,13483,3764,7047,2672,34.8,42.3,0.43,1.22
volume_spike + sma_cross + strong_rsi,182,181,45,89,47,33.6,44.2,0.47,1.22
uptrend_sma50 + sma_cross + ols_breakout,259,257,65,130,62,33.3,42.8,0.41,1.22
uptrend_sma50 + macd_crossover + adx_strong_trend,2064,2064,560,1055,449,34.7,43.5,0.44,1.21
uptrend_sma50 + sma_cross + sma100_support,91,91,22,44,25,33.3,40.7,0.4,1.21
macd_crossover + strong_rsi,2420,2419,645,1252,522,34.0,42.4,0.4,1.2
macd_crossover + ols_breakout + strong_rsi,423,423,108,211,104,33.9,42.8,0.38,1.2
macd_crossover + sma_cross + pullback_sma50,26,26,8,10,8,44.4,42.3,0.41,1.19
uptrend_sma50 + strong_rsi + sma100_support,59,59,17,27,15,38.6,45.8,0.34,1.19
uptrend_sma50 + macd_crossover + strong_rsi,2344,2343,619,1214,510,33.8,42.3,0.38,1.19
uptrend_sma50 + breakout_proximity + sma_cross,1040,1038,251,529,258,32.2,42.7,0.37,1.19
breakout_proximity + sma_cross,1051,1049,252,537,260,31.9,42.5,0.36,1.19
volume_spike + sma_cross,440,439,94,221,124,29.8,43.7,0.41,1.19
adx_strong_trend + sma_cross + pullback_sma50,11,11,3,4,4,42.9,45.5,0.22,1.18
macd_crossover + adx_strong_trend + strong_rsi,1459,1459,392,752,315,34.3,43.0,0.37,1.18
macd_crossover + breakout_proximity + strong_rsi,2268,2267,607,1182,478,33.9,42.1,0.37,1.18
volume_spike + adx_strong_trend + sma_cross,202,202,40,101,61,28.4,45.5,0.38,1.18
macd_crossover + volume_spike + sma100_support,191,191,48,94,49,33.8,43.5,0.36,1.17
rsi_momentum + breakout_proximity + adx_strong_trend,3090,3089,793,1629,667,32.7,41.7,0.34,1.17
adx_strong_trend + sma_cross + strong_rsi,600,600,141,305,154,31.6,43.0,0.35,1.17
breakout_proximity + pullback_sma50,124,124,25,53,46,32.1,45.2,0.31,1.16
uptrend_sma50 + breakout_proximity + pullback_sma50,124,124,25,53,46,32.1,45.2,0.31,1.16
sma_cross + ols_breakout + strong_rsi,110,109,26,55,28,32.1,43.1,0.3,1.16
breakout_proximity + sma_cross + ols_breakout,159,158,39,83,36,32.0,41.1,0.29,1.15
uptrend_sma50 + volume_spike + sma_cross,394,393,86,199,108,30.2,42.7,0.34,1.15
volume_spike + breakout_proximity + sma_cross,258,257,61,132,64,31.6,40.5,0.32,1.14
rsi_momentum + sma_cross + pullback_sma50,162,162,36,85,41,29.8,38.3,0.26,1.13
breakout_proximity + sma_cross + strong_rsi,657,655,157,345,153,31.3,41.4,0.24,1.12
macd_crossover + volume_spike + pullback_sma50,23,23,3,8,12,27.3,43.5,0.24,1.11
adx_strong_trend + strong_rsi + sma100_support,50,50,13,26,11,33.3,38.0,0.18,1.09
rsi_momentum + volume_spike + sma_cross,186,186,34,95,57,26.4,42.5,0.18,1.08
sma_cross + pullback_sma50,172,172,38,90,44,29.7,37.8,0.15,1.07
uptrend_sma50 + sma_cross + pullback_sma50,172,172,38,90,44,29.7,37.8,0.15,1.07
macd_crossover + breakout_proximity + sma100_support,257,257,62,143,52,30.2,38.9,0.1,1.05
macd_crossover + breakout_proximity + pullback_sma50,36,36,7,13,16,35.0,41.7,0.07,1.03
breakout_proximity + adx_strong_trend + sma_cross,571,571,130,315,126,29.2,39.6,0.06,1.03
volume_spike + strong_rsi + sma100_support,92,92,27,48,17,36.0,41.3,0.04,1.02
sma_cross + pullback_sma50 + ols_breakout,53,53,12,29,12,29.3,37.7,-0.01,0.99
breakout_proximity + adx_strong_trend + sma100_support,168,168,39,88,41,30.7,41.1,-0.04,0.98
macd_crossover + adx_strong_trend + sma_cross,81,81,18,43,20,29.5,42.0,-0.1,0.95
macd_crossover + breakout_proximity + sma_cross,179,179,35,96,48,26.7,38.0,-0.11,0.95
volume_spike + sma_cross + ols_breakout,73,72,13,41,18,24.1,36.1,-0.11,0.95
volume_spike + sma_cross + pullback_sma50,40,40,5,18,17,21.7,37.5,-0.17,0.94
rsi_momentum + pullback_sma50 + sma100_support,130,130,27,70,33,27.8,37.7,-0.21,0.9
macd_crossover + volume_spike + sma_cross,78,78,15,45,18,25.0,33.3,-0.27,0.9
macd_crossover + sma_cross + strong_rsi,114,114,23,63,28,26.7,38.6,-0.33,0.85
pullback_sma50 + sma100_support,143,143,29,78,36,27.1,35.7,-0.44,0.79
uptrend_sma50 + pullback_sma50 + sma100_support,143,143,29,78,36,27.1,35.7,-0.44,0.79
volume_spike + pullback_sma50 + sma100_support,37,37,4,15,18,21.1,43.2,-0.5,0.79
adx_strong_trend + pullback_sma50 + ols_breakout,15,15,3,8,4,27.3,33.3,-0.59,0.74
breakout_proximity + sma_cross + sma100_support,17,17,3,9,5,25.0,29.4,-1.05,0.64
breakout_proximity + sma_cross + pullback_sma50,40,40,4,21,15,16.0,27.5,-1.3,0.54
sma_cross + ols_breakout + sma100_support,11,11,2,7,2,22.2,27.3,-1.25,0.44
sma_cross + pullback_sma50 + sma100_support,37,37,5,22,10,18.5,24.3,-1.53,0.43
volume_spike + sma_cross + sma100_support,19,19,2,9,8,18.2,31.6,-1.65,0.43
macd_crossover + pullback_sma50 + sma100_support,15,15,2,8,5,20.0,26.7,-1.68,0.42
macd_crossover + strong_rsi + sma100_support,22,22,4,13,5,23.5,27.3,-1.69,0.4
pullback_sma50 + ols_breakout + sma100_support,38,38,5,23,10,17.9,28.9,-1.32,0.39
breakout_proximity + pullback_sma50 + sma100_support,25,25,3,14,8,17.6,24.0,-1.98,0.33
pullback_sma50 + strong_rsi,11,11,0,3,8,0.0,27.3,-2.46,0.17
uptrend_sma50 + pullback_sma50 + strong_rsi,11,11,0,3,8,0.0,27.3,-2.46,0.17
volume_spike + pullback_sma50 + strong_rsi,11,11,0,3,8,0.0,27.3,-2.46,0.17
breakout_proximity + pullback_sma50 + strong_rsi,11,11,0,3,8,0.0,27.3,-2.46,0.17
macd_crossover + pullback_sma50 + strong_rsi,5,5,0,2,3,0.0,20.0,-3.98,0.04
pullback_sma50 + strong_rsi + sma100_support,5,5,0,2,3,0.0,0.0,-4.88,0.0
rsi_momentum + strong_rsi,1,1,0,0,1,,0.0,-0.77,0.0
