symbol,signal_date,score,reasons,entry_price,rsi,stop_loss,target,outcome,exit_price,exit_date,days_held,return_pct,pointer_uptrend_sma50,pointer_rsi_momentum,pointer_macd_crossover,pointer_volume_spike,pointer_breakout_proximity,pointer_adx_strong_trend,pointer_sma_cross,pointer_pullback_sma50,pointer_ols_breakout,pointer_strong_rsi,pointer_sma100_support,pointer_volume_contraction,pointer_weekly_trend_up,pointer_outperforming_index
VEDL.NS,2026-04-23,5,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25; Weekly trend aligned (above Weekly EMA20); Outperforming index,735.6,54.3,687.67,807.49,stop_loss_hit,687.67,2026-04-30,5,-6.52,True,True,False,False,False,True,False,False,False,False,False,False,True,True
ABB.NS,2026-04-24,5,Uptrend (above rising SMA50); ADX greater than 25; Strong RSI momentum; Weekly trend aligned (above Weekly EMA20); Outperforming index,7298.65,69.6,6825.35,8008.6,stop_loss_hit,6825.35,2026-05-11,11,-6.48,True,False,False,False,False,True,False,False,False,True,False,False,True,True
ADANIENSOL.NS,2026-04-24,6,Uptrend (above rising SMA50); Volume spike (>1.5x avg); Near 20-day high; ADX greater than 25; Weekly trend aligned (above Weekly EMA20); Outperforming index,1411.95,83.2,1295.15,1587.15,stop_loss_hit,1295.15,2026-05-12,12,-8.27,True,False,False,True,True,True,False,False,False,False,False,False,True,True
ADANIENT.NS,2026-04-24,6,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25; Strong RSI momentum; Weekly trend aligned (above Weekly EMA20); Outperforming index,2286.58,69.9,2128.28,2524.02,target_hit,2524.02,2026-05-06,8,10.38,True,False,False,False,True,True,False,False,False,True,False,False,True,True
ADANIGREEN.NS,2026-04-24,8,Uptrend (above rising SMA50); Volume spike (>1.5x avg); Near 20-day high; ADX greater than 25; Momentum Breakout (VCP + volume spike); Weekly trend aligned (above Weekly EMA20); Outperforming index,1235.8,83.1,1135.52,1386.22,target_hit,1386.22,2026-05-11,11,12.17,True,False,False,True,True,True,False,False,False,False,False,False,True,True
ADANIPORTS.NS,2026-04-24,6,Uptrend (above rising SMA50); Recent SMA50/SMA100 bullish crossover; Strong RSI momentum; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,1578.45,65.7,1485.51,1717.85,target_hit,1717.85,2026-05-04,6,8.83,True,False,False,False,False,False,True,False,False,True,False,True,True,True
ADANIPOWER.NS,2026-04-24,4,Uptrend (above rising SMA50); ADX greater than 25; Weekly trend aligned (above Weekly EMA20); Outperforming index,212.9,85.7,197.34,236.24,timeout,221.3300018310547,2026-05-15,15,3.96,True,False,False,False,False,True,False,False,False,False,False,False,True,True
APOLLOHOSP.NS,2026-04-24,5,Uptrend (above rising SMA50); RSI in healthy zone; Near 20-day high; Weekly trend aligned (above Weekly EMA20); Outperforming index,7732.5,57.9,7385.76,8252.61,timeout,8082.5,2026-05-15,15,4.53,True,True,False,False,True,False,False,False,False,False,False,False,True,True
ASIANPAINT.NS,2026-04-24,6,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,2485.1,61.0,2347.98,2690.78,timeout,2605.60009765625,2026-05-15,15,4.85,True,True,False,False,False,True,False,False,False,False,False,True,True,True
AXISBANK.NS,2026-04-24,6,Uptrend (above rising SMA50); RSI in healthy zone; Near 20-day high; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,1365.9,61.5,1298.58,1466.88,stop_loss_hit,1298.58,2026-04-28,2,-4.93,True,True,False,False,True,False,False,False,False,False,False,True,True,True
BAJAJ-AUTO.NS,2026-04-24,6,Uptrend (above rising SMA50); RSI in healthy zone; Pullback to SMA100 support; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,9443.1,53.2,9005.88,10098.94,target_hit,10098.94,2026-05-04,6,6.95,True,True,False,False,False,False,False,False,False,False,True,True,True,True
BAJAJHLDNG.NS,2026-04-24,3,RSI in healthy zone; Volume contracting (low selling pressure); Outperforming index,10259.5,56.2,9680.2,11128.45,timeout,10308.0,2026-05-15,15,0.47,False,True,False,False,False,False,False,False,False,False,False,True,False,True
BAJFINANCE.NS,2026-04-24,3,RSI in healthy zone; Volume contracting (low selling pressure); Outperforming index,921.55,54.1,863.8,1008.17,timeout,910.4500122070312,2026-05-15,15,-1.2,False,True,False,False,False,False,False,False,False,False,False,True,False,True
BANKBARODA.NS,2026-04-24,3,RSI in healthy zone; Volume contracting (low selling pressure); Outperforming index,265.54,46.9,249.62,289.42,timeout,253.2101593017578,2026-05-15,15,-4.64,False,True,False,False,False,False,False,False,False,False,False,True,False,True
BEL.NS,2026-04-24,5,Uptrend (above rising SMA50); RSI in healthy zone; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,444.45,52.6,420.85,479.85,stop_loss_hit,420.85,2026-05-12,12,-5.31,True,True,False,False,False,False,False,False,False,False,False,True,True,True
BOSCHLTD.NS,2026-04-24,6,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,36690.0,59.3,34548.38,39902.43,timeout,37155.0,2026-05-18,15,1.27,True,True,False,False,False,True,False,False,False,False,False,True,True,True
