date,symbol,entry_price,target_1_5,sl_1_5,rsi,vol_ratio,status,next_open,next_open_return,exit_price_b,exit_return_b,outcome_b,created_at
2026-02-03,POWERGRID.NS,280.06,284.26,275.86,70.9,3.51,CLOSED,285.59,+1.98%,285.59,+1.98%,WIN,2026-07-22T00:50:50.173697
2026-04-15,POWERGRID.NS,312.45,317.14,307.76,67.1,1.25,CLOSED,315.0,+0.82%,312.25,-0.06%,LOSS,2026-07-22T00:50:50.174204
2026-07-20,PNB.NS,111.76,113.44,110.08,65.2,7.86,CLOSED,111.7,-0.05%,112.08,+0.29%,WIN,2026-07-22T00:50:50.190559
2026-04-16,RADICO.NS,3036.4,3081.95,2990.85,66.0,2.35,CLOSED,3040.1,+0.12%,3081.95,+1.50%,WIN,2026-07-22T00:50:50.199470
2026-04-20,RADICO.NS,3340.1,3390.2,3290.0,75.0,2.44,CLOSED,3356.8,+0.50%,3390.2,+1.50%,WIN,2026-07-22T00:50:50.199504
2026-06-19,RADICO.NS,3769.2,3825.74,3712.66,72.5,2.78,CLOSED,3770.0,+0.02%,3778.6,+0.25%,WIN,2026-07-22T00:50:50.200006
2026-06-30,RADICO.NS,3945.5,4004.68,3886.32,76.8,2.25,CLOSED,3946.0,+0.01%,3952.6,+0.18%,WIN,2026-07-22T00:50:50.200091
2026-07-06,RADICO.NS,4106.7,4168.3,4045.1,76.5,2.91,CLOSED,4135.7,+0.71%,4098.6,-0.20%,LOSS,2026-07-22T00:50:50.200144
2026-02-09,MOTHERSON.NS,123.81,125.67,121.95,63.7,1.46,CLOSED,124.3,+0.39%,125.67,+1.50%,WIN,2026-07-22T00:50:50.233184
2026-04-15,SIEMENS.NS,3576.1,3629.74,3522.46,68.6,5.51,CLOSED,3600.0,+0.67%,3563.8,-0.34%,LOSS,2026-07-22T00:50:50.266412
2026-04-17,SIEMENS.NS,3707.9,3763.52,3652.28,72.0,2.02,CLOSED,3702.0,-0.16%,3763.52,+1.50%,WIN,2026-07-22T00:50:50.266446
2026-05-27,SIEMENS.NS,3878.7,3936.88,3820.52,60.8,4.0,CLOSED,3878.7,+0.00%,3878.7,+0.00%,LOSS,2026-07-22T00:50:50.266773
2026-03-02,SOLARINDS.NS,13989.0,14198.83,13779.16,61.8,3.15,CLOSED,14124.0,+0.97%,14198.83,+1.50%,WIN,2026-07-22T00:50:50.269543
2026-03-04,SOLARINDS.NS,14523.0,14740.84,14305.16,67.9,5.03,CLOSED,14796.0,+1.88%,14796.0,+1.88%,WIN,2026-07-22T00:50:50.269564
2026-05-14,SOLARINDS.NS,16665.0,16914.97,16415.03,69.0,2.54,CLOSED,16740.0,+0.45%,16914.97,+1.50%,WIN,2026-07-22T00:50:50.270068
2026-05-15,SOLARINDS.NS,17314.0,17573.71,17054.29,73.7,4.43,CLOSED,17509.0,+1.13%,17573.71,+1.50%,WIN,2026-07-22T00:50:50.270088
